Date,Open,High,Low,Close,Adj Close,Volume
2020-03-12,4.450000,4.810000,4.210000,4.450000,4.437119,26624200
2020-03-13,5.470000,5.480000,4.610000,5.200000,5.184947,31195500
2020-03-16,4.490000,4.850000,4.340000,4.430000,4.417176,26194900
2020-03-17,4.440000,4.890000,4.270000,4.750000,4.736250,28669100
2020-03-18,4.220000,4.430000,3.790000,3.950000,3.938566,27491500
2020-03-19,3.850000,4.210000,3.670000,4.100000,4.088132,30519900
2020-03-20,4.260000,4.300000,3.750000,3.770000,3.759087,29031800
2020-03-23,3.590000,3.620000,3.290000,3.400000,3.390158,31310400
2020-03-24,3.740000,4.050000,3.740000,4.030000,4.018335,19459700
2020-03-25,4.030000,4.680000,3.930000,4.370000,4.357350,19158200
2020-03-26,4.520000,4.630000,4.250000,4.460000,4.447090,25116600
2020-03-27,4.150000,4.280000,4.010000,4.070000,4.058219,12807700
2020-03-30,4.100000,4.220000,3.990000,4.130000,4.118045,11417300
2020-03-31,4.120000,4.130000,3.910000,4.060000,4.048248,15429100
2020-04-01,3.780000,3.840000,3.650000,3.780000,3.769058,14219900
2020-04-02,3.790000,3.870000,3.700000,3.790000,3.782467,12103900
2020-04-03,3.640000,3.670000,3.410000,3.550000,3.542944,18305200
2020-04-06,3.950000,4.060000,3.880000,3.960000,3.952129,19423100
2020-04-07,4.350000,4.360000,4.110000,4.120000,4.111811,22619700
2020-04-08,4.190000,4.390000,4.120000,4.380000,4.371295,11874400
2020-04-09,4.480000,4.580000,4.330000,4.370000,4.361314,19388100
2020-04-13,4.300000,4.390000,4.160000,4.380000,4.371295,14433400
2020-04-14,4.150000,4.240000,4.030000,4.050000,4.041951,17914800
2020-04-15,3.860000,4.000000,3.830000,3.900000,3.892249,15769700
2020-04-16,3.900000,3.920000,3.750000,3.770000,3.762507,14454400
2020-04-17,3.940000,3.940000,3.720000,3.850000,3.842348,9816800
2020-04-20,3.740000,3.750000,3.650000,3.670000,3.662706,10280600
2020-04-21,3.590000,3.650000,3.460000,3.520000,3.513004,17157300
2020-04-22,3.600000,3.700000,3.560000,3.600000,3.592845,15901700
2020-04-23,3.650000,3.660000,3.440000,3.480000,3.473083,13961000
2020-04-24,3.330000,3.360000,3.020000,3.120000,3.113799,24827700
2020-04-27,3.280000,3.360000,3.160000,3.240000,3.233561,22045800
2020-04-28,3.490000,3.630000,3.480000,3.600000,3.592845,26465600
2020-04-29,3.700000,3.850000,3.650000,3.840000,3.832368,16544200
2020-04-30,3.540000,3.590000,3.480000,3.520000,3.513004,16958800
2020-05-01,3.380000,3.450000,3.300000,3.330000,3.323381,8934700
2020-05-04,3.280000,3.320000,3.210000,3.310000,3.303421,23904800
2020-05-05,3.320000,3.440000,3.230000,3.270000,3.263501,18485300
2020-05-06,3.200000,3.200000,3.100000,3.150000,3.143739,14857500
2020-05-07,3.050000,3.050000,2.890000,2.970000,2.964097,34721100
2020-05-08,3.040000,3.180000,3.010000,3.180000,3.177379,29322100
2020-05-11,3.140000,3.200000,3.030000,3.050000,3.047486,16162000
2020-05-12,3.060000,3.110000,2.910000,2.920000,2.917593,18644300
2020-05-13,2.960000,2.980000,2.790000,2.870000,2.867635,24935400
2020-05-14,2.790000,3.060000,2.680000,3.040000,3.037494,36485200
2020-05-15,3.050000,3.110000,2.920000,2.940000,2.937577,16980900
2020-05-18,3.100000,3.140000,3.020000,3.110000,3.107437,33778000
2020-05-19,3.110000,3.120000,3.000000,3.000000,2.997528,25243600
2020-05-20,3.060000,3.130000,3.030000,3.090000,3.087453,15163500
2020-05-21,3.220000,3.360000,3.220000,3.310000,3.307272,19282000
2020-05-22,3.310000,3.400000,3.240000,3.350000,3.347239,20155600
2020-05-26,3.730000,3.750000,3.520000,3.580000,3.577049,21187900
2020-05-27,3.700000,3.720000,3.590000,3.690000,3.686959,14903400
2020-05-28,3.670000,3.670000,3.530000,3.560000,3.557066,17258200
2020-05-29,3.450000,3.550000,3.370000,3.460000,3.457149,22843400
2020-06-01,3.580000,3.700000,3.550000,3.640000,3.637000,17004600
2020-06-02,3.800000,3.970000,3.780000,3.970000,3.970000,18023200
2020-06-03,4.270000,4.350000,4.190000,4.230000,4.230000,26336600
2020-06-04,4.140000,4.330000,4.090000,4.260000,4.260000,25679800
2020-06-05,4.650000,4.680000,4.430000,4.500000,4.500000,24705200
2020-06-08,4.600000,4.820000,4.530000,4.800000,4.800000,20429300
